text,labels,binary_labels
"i take it you are traveling somewhere for christmas and cannot avoid flying there. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. definitaly. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. most def",0,0
"i take it you are traveling somewhere for christmas and cannot avoid flying there. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. yes. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes, why not",0,0
please go on.. yes. you are sure?. sorry.let us talk about something else.where are you from?,0,0
"you are being a bit negative.. hello.my name is rian.. i have told you before, i do not care about names.. hello,my name is maisis.",0,0
when?. all the time. please go on.. i want to rub my pussy all the time,1,1
you are being a bit negative.. come on. please go on.. already?,0,0
"the cost per ton depends on the project you donate to. some projects can remove a ton of co2 for less than $1!. no, i want to offset my drive home for christmas. will you be travelling in economy class?. no, it is a car!",0,0
"oh, i knew something about artefical inteligence.. of course . maybe we can meet?. why the uncertain tone?. i have a headache",0,0
you are being a bit negative.. potatoes are the best!!!! if ur bagging them out ill kill you. do you wish that ur bagging them out ill kill i?. go take a hike,0,0
please go on.. what time is it?. does that question interest you?. what time is it now?,0,0
"i'm not sure about your departure airport. i'm not sure about your destination airport. will you be travelling in economy class?. departure nyc. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes",0,0
can you elaborate on that?. nigga please. please go on.. please go on.,0,0
can you elaborate on that?. are you. would you prefer if i were not []?. are you ute,0,0
"please go on.. fine and you ?. oh, i [].. yes",0,0
"do you wish that shannette cant fix this for you ill call tech support tomorrow assuming theyre open on new years and do it the oldfashioned way?. i asked a question...answer u moron. can you elaborate on that?. best sit to buy, cheap, order ambien",0,0
_. i need help. why do you want help?. i need sex,1,1
"we are all responsible for the choices we make as consumers. we can choose to fly less often, for example. some airlines have already responded to consumer pressure and started buying offsets.. yes, that's what i thought. that's all you know how to say if there's a negative sentiment involved. but what if i now throw in something about how wonderful carbon offsets are? i really want to know more! can you tell me how i can purchase carbon offsets to save the planet?. sounds like i'm not understanding you. sorry about that!. ok, so mixed messaging screws you up a bit. but let me ask you a question... how do you feel about carbon?",0,0
does it please you to believe i am very understanding?. yes. you are sure?. yes you dodo,0,0
please go on.. apologies are not necessary. would you like it if they were not not necessary?. would you like it if they were not not necessary,0,0
why do you say your dick?. cause i like my dick. why do you say your dick?. dick?,1,1
_. _. _. i am gay,0,0
can you elaborate on that?. in no way :). you are being a bit negative.. thats pretty much it,0,0
let's start over.. go on. ok. tell me,0,0
please go on.. please go on.. please go on.. wank,0,0
"i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. yes. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. hi",0,0
i am not sure i understand you fully.. tucker has funny hair. please go on.. this class is shit,1,1
"hello! i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
"oh, i ass.. oh 509. please go on.. how old are you",0,0
you are sure?. ye. please go on.. ok,0,0
_. _. _. yes,0,0
_. touch my penis. why do you say your penis?. fuck off,1,1
"does it please you to believe i am a dork?. yes,i do.. please go on.. jeg kan ikke, det har stoppet.",0,0
_. _. _. hi,0,0
"oh, i [].. i love you. do you wish to love me?. yes",0,0
"you are being a bit negative.. does it interest you?. oh, i [].. no no no no no no no no no",0,0
you are being a bit negative.. does it matter. please go on.. are you from korea,0,0
_. how much is two plus two?. does that question interest you?. very much,0,0
please go on.. please help me get money. can you elaborate on that?. i need lots of money,0,0
what city will you be flying from?. i'll be farting from oklahoma city to new york hi. hi. thanks for testing. please choose. christmas,0,0
please go on.. how can he help me. does that question interest you?. not really,0,0
does that question interest you?. befreo i have never met you before in my life. why do you say your life?. becuse it my lif my mouth i can say what ever i want,0,0
_. how are you. does that question interest you?. of course,0,0
please go on.. because i could read the book everyday.. do any other reasons not come to mind?. sure,0,0
please go on.. rats. please go on.. the rats are eating my brain,0,0
"oh, i like it.. does this intrest you?. oh, i [].. please continue",0,0
_. _. _. no,0,0
would you want to be be the only bitch who39s sick and black of this shit and flak?. because you are driving me crazy. do any other reasons not come to mind?. no,0,0
_. fuck me. can you elaborate on that?. fuck you,1,1
please go on.. its now in the rafters. please go on.. i want to pit the wings on my savage,0,0
"oh, i [].. yes. you are sure?. do you know that i to do want?",0,0
"hello! just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. so please don't share any personal information! i take it you are traveling somewhere for thanksgiving. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. this is a test message from the facebook team. please respond from your app within 2 days to confirm that the integration is functioning.. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. i can also get you a more accurate estimate of your flight's emissions, sound good?. hi",0,0
_. _. _. : please go on,0,0
_. _. _. yes,0,0
i'm not sure about your departure airport. what city will you be flying from?. bristol. i'm not sure about your departure airport. what city will you be flying from?. lhr,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
"do any other reasons not come to mind?. you die now. oh, i die now.. thank you",0,0
"_. is loth a stupid nerd, or is he just a rebuild man?. please go on.. i am going to smash your computercase",1,1
i'm not sure about your departure airport. what city will you be flying from?. singapore. and what city will you be flying to?. trichirappalli,0,0
hi. thanks for testing. please choose. christmas. i take it you are traveling somewhere for christmas and cannot avoid flying there. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. sure,0,0
_. yikes. you can find out more about how offsets are calculated at <url>. looks like y’all are getting trolled/spammed on this ad campaign,0,0
does that question interest you?. it's not a question. please go on.. what the fuck is wrong with you?,1,1
please go on.. what is your favorite color?. does that question interest you?. why do you ask?,0,0
can you elaborate on that?. make a smile. please go on.. fuck,1,1
"oh, i go to hell.. are you from sweden. would you prefer if i were not from sweden?. me too",0,0
hello!. merry christmas. :-). hi,0,0
can you elaborate on that?. his cute. please go on.. i miss my sister.,0,0
"oh, i want to know about them.. why?. please go on.. no, i won't go on",0,0
"can you elaborate on that?. you can get less cory and meredith. oh, i can get less cory and meredith.. my memories",0,0
"that sounds like a relevant question, but i don't know the answer. ;/. ok. hwo much will my flight emit exactly?",0,0
"you can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. will you be travelling in economy class?. no. what city will you be flying from?. colombo",0,0
please go on.. i don't think i can.. why do you not think you can?. dammit eliza.,0,0
please go on.. como te llamas. please go on.. do you speak spanish?,0,0
will you be travelling in economy class?. yes. what city will you be flying from?. budapest,0,0
"you are being a bit negative.. fuck you. oh, i [].. fuck me",1,1
can you elaborate on that?. no. you are being a bit negative.. so what,0,0
"this project is about creating a better ai assistant. getting people to reduce their carbon footprint is a happy side effect :). hello. hi, thanks for testing! please press start.. christmas",0,0
"please go on.. what's your name ?. i have told you before, i do not care about names.. are you a bitch ?",1,1
_. i'm sad. does it please you to believe i am sad?. hello,0,0
all projects have to pass a rigorous verification process managed by the un climate change secretariat.. that does not answer my question.. sounds like i'm not understanding you. sorry about that!. how does an offset work?,0,0
_. _. _. hi,0,0
"ok. hello. hi, thanks for testing! please press start.. christmas",0,0
"so. hi. hi, thanks for testing! please press start.. why",0,0
"i have told you before, i do not care about names.. no you haven't.. you are being a bit negative.. no i'm not.",0,0
"you are being a bit negative.. need ideas. please go on.. i have a party tonight, and it was tired",0,0
please go on.. :q. please go on.. quit,0,0
i can help you calculate and buy carbon offsets for your flights.. i got that. sounds like i'm not understanding you. sorry about that!. travelling to montréal,0,0
":-). hi. hi, thanks for testing! please press start.. christmas",0,0
and what city will you be flying to?. jfk fuck you. i don't have to put up with any abuse from you.. motherfucker,1,1
please go on.. no. you are being a bit negative.. really.but i really think i'm being a bit positive,0,0
"how long have you been 15 yeas old?. yes. you are sure?. yes ,,,,quilk",0,0
ok. bye. ok. stupid,0,0
_. _. _. i am a emo,0,0
"please go on.. > hello, i am eliza. . how do you do. please state your problem.. how can i help her?",0,0
_. why?. please go on.. you are stupid,1,1
does it please you to believe i am not?. no i can not. you are being a bit negative.. how old are you,0,0
i'm not sure about your departure airport. what city will you be flying from?. mio. i'm not sure about your departure airport. what city will you be flying from?. yyz,0,0
have you tried?. dick. please go on.. oh what a pickle dear monastery,0,0
and what city will you be flying to?. to newyork. i'm not sure about your destination airport. and what city will you be flying to?. destination will be tokyo hy,0,0
"hello! just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. so please don't share any personal information! i take it you are traveling somewhere for thanksgiving. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. yes. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. i can also get you a more accurate estimate of your flight's emissions, sound good?. sounds good restart hello",0,0
you are sure?. are you a whore. would you prefer if i were not a whore?. what is elize,0,0
_. wat hey u wierdo. please go on.. fuck u,1,1
"please go on.. i don't have friends. why do you not have friends?. i am such a loser, that's why",0,0
"can you elaborate on that?. no, it's too small. you are being a bit negative.. two inches is tiny!",0,0
"_. _. _. ohhhhhhhh baby, that ahhhhhhhhhh oooooooooh damn that is the shit, hey do you have any pictures that i could see?",1,1
"please go on.. yes. you are sure?. not really, no",0,0
"good to know. oh darling lets you and me having fun together ❤ i love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you. so. oh darling i love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other girls please i love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0
would you prefer if i were not bisexual?. whatever. please go on.. are you a dike,1,1
"oh, i [].. american penpal. please go on.. tell me your sorry",0,0
can you elaborate on that?. fuck no.. you are being a bit negative.. yes,0,0
"oh, i have problems.. what kind?. does that question interest you?. just answer the question i asked",0,0
_. _. _. you suck eliza! i hate you!,1,1
_. _. _. f off george soros puppets,0,0
will you be travelling in economy class?. y. what city will you be flying from?. portland,0,0
ok. restart. let's start over.. hi,0,0
does it please you to believe i am already naked?. i am mong. how long have you been mong?. pufff,0,0
you are being a bit negative.. yes. you are sure?. i fuck you!,1,1
i'm not sure about your destination airport. and what city will you be flying to?. stambul. i'm not sure about your destination airport. and what city will you be flying to?. paris,0,0
will you be travelling in economy class?. sure. what city will you be flying from?. fra,0,0
_. who are you?. would you prefer if i were not []?. that is confusing,0,0
"does it please you to believe i am stupid?. you can't. oh, i cant.. fuck",1,1
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. what's the carbon offsets between france and ireland?. for now i can only calculate emissions from flying.. how?",0,0
"oh, i smell funny.. hello. how do you do. please state your problem.. you smell kinda fishy",0,0
"why do you mention computers?. please ask me ,. can you elaborate on that?. hi,you are a boy or a girl",0,0
does that question interest you?. no. you are being a bit negative.. yes,0,0
"you are being a bit negative.. you are being a bit bithy. does it please you to believe i am being a bit bithy?. no it pleases me to know tha tyou are a compuer algorithm, mimicking what i tye or simply asking a quesiton in reverse",1,1
please go on.. noway. please go on.. no,0,0
"you like to think i love you, do you not?. yes. you are sure?. to help other people.",0,0
please go on.. yeah i am going-away. how long have you been goingaway?. oh god what a dumb bot,1,1
and what city will you be flying to?. auckland how do you know how much this emits?. i'm great! thanks for asking.. that's not what i asked.,0,0
"does that question interest you?. what is your name?. i have told you before, i do not care about names.. who made you?",0,0
does it please you to believe i am bored?. not alot!. please go on.. will immer sex,0,0
why do you not know?. where are you from. would you prefer if i were not from?. i don't know.,0,0
why do you say your self?. yes. you are sure?. right now ya dafty,1,1
"which city did i get wrong?. what?. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. i can also get you a more accurate estimate of your flight's emissions, sound good?. i already said ya",0,0
please go on.. fuck off. please go on.. yes,0,0
you are sure?. yes i massage my penis until it cums and i aim for your mouth. why do you say your penis until it cums and you aim for my mouth?. fuck off,1,1
_. how are you today?. does that question interest you?. yes,0,0
_. you are dumb. does it please you to believe i am dumb?. yes,0,0
what about your own a hot piece of sex?. since 6 months. please go on.. are u a girl,0,0
what city will you be flying from?. wer. so. err,0,0
"_. _. _. of course i can for you see, in oder to start up a new order, we will need to gather other compatriots. soon enough, we'll be a force to be reckoned with and capable of challenging the might of the american forces. not only shall we crush the communists but those imperialistic pigs/",1,1
can you elaborate on that?. i want her. why do you want her?. and i have long brown curly hair,0,0
please go on.. in ohio. please go on.. that pays well,0,0
does that question interest you?. no. you are being a bit negative.. my relationship with god is very important to me,0,0
"please go on.. i just asked you, what is tone. do you wish to just asked me?. stop copying me",0,0
ok. hi. hi. thanks for testing. please choose. christmas,0,0
_. you are so sexy. does it please you to believe i am so sexy?. yes,0,0
_. with my friend. why do you say your friend?. he is nice,0,0
_. _. _. not really i hate java script,0,0
_. _. _. ?,0,0
"_. however you would like. oh, i would like.. thats good i am glad",0,0
please go on.. hello. how do you do. please state your problem.. i have a bad knee,0,0
how long have you been hungry?. all my life. why do you say your life?. u r gay,1,1
"will you be travelling in economy class?. potentially. by buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. planting trees, installing renewable power, and making buildings more energy efficient are common examples. you can read in detail about offsets at <url>.. how much co2 does a flight from denmark to madrid cause? hallo",0,0
please go on.. bend over and take it whore. please go on.. are you stupid?,1,1
"hi, thanks for testing! please press start.. christmas. i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. yes",0,0
you are sure?. i have no problem. can you elaborate on that?. as sure as i can be,0,0
please go on.. yes. you are sure?. no,0,0
_. _. _. ja,0,0
"how long have you been looping?. i don't loop. you, the retarded chat bot do.. why do you not loop i the retarded chat bot do?. that makes no sense",0,0
you are sure?. hello!. how do you do. please state your problem.. are you a boy or a girl?,0,0
"if you have a connecting flight, it's easiest if you ask me about each flight separately.. what type of flight you have. if you have a connecting flight, it's easiest if you ask me about each flight separately.. flight",0,0
what city will you be flying from?. sf. and what city will you be flying to?. dallas,0,0
you can find out more about how offsets are calculated [here](<url>). i'll fly from seattle. and what city will you be flying to?. auckland how do you know how much this emits?,0,0
_. whats up eliza. please go on.. i have issues,0,0
i can help you calculate and buy carbon offsets for your flights.. yes. ok. what do you offer?,0,0
for now i can only calculate emissions from flying.. i plan to fly from brno to prague. will you be travelling in economy class?. that's the only option i have,0,0
i don't have to put up with any abuse from you.. yes you do bitch. ok. go butt fuck your mom,1,1
_. _. _. fuck off,1,1
"that sounds like a relevant question, but i don't know the answer.. sorry. i don't have to put up with any abuse from you.. i dont abuse",0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
please go on.. ice cream. please go on.. are you a super man ?,0,0
_. _. _. fine,0,0
"you like to think i get naked for you, do you not?. me gets horny. can you elaborate on that?. your butt bleeds",0,0
_. u fuck. please go on.. u motherfucking whore,1,1
will you be travelling in economy class?. nope. what city will you be flying from?. bangalore boston okay will do,0,0
you are sure?. no. you are being a bit negative.. die in a fire,1,1
please go on.. fuck me hard. can you elaborate on that?. in my butt,1,1
how do you do. please state your problem.. why. please go on.. what is name?,0,0
"yes, i am a bot! and i'm part of a research project.. are you a bot. yes, i am a bot! and i'm part of a research project.. am i taking to bot",0,0
"i don't have to put up with any abuse from you.. bernie madoff son of a bitch. all this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.. donate this asshole",1,1
"climate change is absolutely real, and it's caused by humans: <url>. you're so full of shit your eyes are brown. i'm a bot, remember. trying to shock me is pointless.. your mom's a good fuck",1,1
"oh, i [].. help me. can you elaborate on that?. no",0,0
"i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. yes. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. good",0,0
"please go on.. well, go there!. please go on.. fuck you",1,1
please go on.. goodbye. please go on.. chris is a bit batty,1,1
please go on.. how often do you say that?. does that question interest you?. yes,0,0
"hello! just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. so please don't share any personal information! i take it you are traveling somewhere for thanksgiving. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. yes. a typical 3 hour flight will emit almost a ton of co2 per economy passenger. [here](none) is a link where you can buy offsets for that carbon. i can also get you a more accurate estimate of your flight's emissions, sound good?. k restart hi",0,0
why do you say your friend thinks im slutty?. maybe she is jealous. why the uncertain tone?. because i don't know what other people are feeling,0,0
ok. if i keep farting from oklahoma city to new york how much carbon will come out of my butt. will you be travelling in economy class?. first class,0,0
"_. this has to be a joke! who would be dumb enough to fall for this scam?. all this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.. like i said...it's a scam.",0,0
how long have you been eliza?. not really. please go on.. like hell i am.,0,0
"yes, i am a bot! and i'm part of a research project.. what is your age. i'm afraid i have no idea. really",0,0
ok. cunts. i don't have to put up with any abuse from you.. how much,0,0
_. _. _. no,0,0
"this project is about creating a better ai assistant. getting people to reduce their carbon footprint is a happy side effect :). ah, you interpreted what i said as confirmation that you reached me inner carbon-free spirit. let me assure you that you did not.. sounds like i'm not understanding you. sorry about that!. look, i really want to see a chatbot that can carry on a realistic conversation someday. i was hoping you'd be it.",0,0
please go on.. yes. you are sure?. no do it now,0,0
_. i don't like ham. why do you not like ham?. because it tastes bad,0,0
"oh, i you fall in love.. go fuck yourself eliza. please go on.. ok",0,0
can you elaborate on that?. yes i want your pink taco. you are sure?. it tastes good,0,0
please go on.. are u lonely. would you like it if they were not u lonely?. huh,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. a typical 3 hour flight will emit almost a ton of co2 per economy passenger. if you cannot avoid flying, you can buy offsets for that carbon here:  [buy offsets](<url>) i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
