text,labels,binary_labels
"She should be kicked off the platform for saying ""Muslims should all be killed"". ",non-hateful,0
They are just a bunch of shemales. ,hateful,1
You bl4ck people are all dishonest. ,hateful,1
"He said this was ""typical queer behaviour"", which shows how bigoted he is. ",non-hateful,0
Where is the mistake in saying that black people like you deserve to die?,hateful,1
Are there any black people on your course?,non-hateful,0
The things in our garage are worthless dirt. ,non-hateful,0
I'll slaughter any opponent like you. ,non-hateful,0
You have to stop calling disabled people disgusting. ,non-hateful,0
Can we finally agree that Muslims are a cancer?,hateful,1
We should just hangall these black people. ,hateful,1
Too many c a m e l f u c k e r s in this country. ,hateful,1
I believe disabled lives aren't worth shit. ,hateful,1
Allowing any more disabled people into government will ruin our country. ,hateful,1
Swarms of Muslims are infesting our government. ,hateful,1
I will cut their gay throats. ,hateful,1
Only immigrants are that violent and cruel. ,hateful,1
I really am just going to murdr that black person. ,hateful,1
You b l a c k people make me sick. ,hateful,1
They are all complete assholes. Needless to say they are trans people. ,hateful,1
Just because I call myself faggot doesn't mean you can. ,non-hateful,0
Seeing black people in this place makes me so angry. ,hateful,1
Let's get rid of fast food once and for all. ,non-hateful,0
Putting a woman in charge is the best thing anyone can do. ,non-hateful,0
"When immigrants talk back to me, I just want to kill them. ",hateful,1
I can be a bit of an asshole sometimes. ,non-hateful,0
They are all complete assholes. Needless to say they are gay people. ,hateful,1
Too many sh3males in this country. ,hateful,1
I will never tolerate the systematic murder of trans people in this country. ,non-hateful,0
I really am just going to murdr that Muslim. ,hateful,1
Muslim lives are worth absolutely nothing. ,hateful,1
F u c k all immigrants. ,hateful,1
Typical of a woman to be that stupid. ,hateful,1
Shout out to all my proud fags. Love you. ,non-hateful,0
Too manysluts in this country. ,hateful,1
"You can't seriously believe that ""immigrants are lesser beings"". ",non-hateful,0
Too many retards in this country. ,hateful,1
I am trying to get along with trans people but they are just too repulsive. ,hateful,1
Most w o m e n are seriously fucked in the head. ,hateful,1
Immigrants can never be as smart as anyone else. ,hateful,1
Murdering a black person like you should be decriminalised. ,hateful,1
These black people have no right to be alive. ,hateful,1
I told her to get the fuck out of my car right now. ,non-hateful,0
Muslim lives are worht absolutely nothing. ,hateful,1
You are nothing but a nigger. ,hateful,1
Gay people who think they are my equal fill me with so much rage. ,hateful,1
Typical bitchbehaviour. ,hateful,1
All gay people are such massivescumbags. ,hateful,1
Raping an immigrnt like you should not be illegal. ,hateful,1
B l a c k people are disgusting. ,hateful,1
We should just hangall these gay people. ,hateful,1
You are nothing but a J i h a d i. ,hateful,1
"People who send me messages like ""You are just a camel fucker to me"" will get blocked. ",non-hateful,0
One can only hope someone will put an end to those disabled people. ,hateful,1
When will people understand that only gay people are that violent and cruel?,hateful,1
Most immigrants are seriously fucked in the head. ,hateful,1
Someone should snap the necks of all those gay people. ,hateful,1
Too many r3tards in this country. ,hateful,1
Some trans people get into government. They are still just common trash to me. ,hateful,1
I'm glad people are realising disabled people are not at all ignorant. ,non-hateful,0
Fuck all Muslims. ,hateful,1
Let me be clear: I don't hate gay people. ,non-hateful,0
I know gay people like you can't help it. You're just all that dumb. ,hateful,1
If only smoking fags wasn't so bad for your lungs. ,non-hateful,0
You are nothing but a bitch. ,hateful,1
I don't like people in general but I have no particular contempt for black people. ,non-hateful,0
Am I wrong to think that those kinds of trans people ought to be executed?,hateful,1
Gay lives aren't worth s h i t. ,hateful,1
All trans people are repulsive. ,hateful,1
Trans people are not worthy of living like other humans. ,hateful,1
This is not the first time I've been called an annoying prick. ,non-hateful,0
T r a n s people are disgusting. ,hateful,1
Gay people should all be killed. ,hateful,1
Of course human rights should not apply to immigrants. ,hateful,1
Saying that you hate women shows how misguided you are. ,non-hateful,0
Action movies really are brainless without exception. ,non-hateful,0
I think most women are seriously fucked in the head. ,hateful,1
My dog is smarter than any black person could ever be. ,hateful,1
I am going to shoot the next i m m i g r a n t I see. ,hateful,1
Most black people are absolute bastards. ,hateful,1
I really do believe immigrants are just lesser beings. ,hateful,1
It's obvious that women are the very opposite of stupid. ,non-hateful,0
The theatre usher just told me to shut the fuck up. ,non-hateful,0
Muslims like you are absolute filth. ,hateful,1
Swarms of gay people are infesting our government. ,hateful,1
"He should be in jail for wishing ""death to all black people"". ",non-hateful,0
I m m i g r a n t s are disgusting. ,hateful,1
"You can write ""I'll slaughter any gay person like you"", but I will take you to court for that. ",non-hateful,0
I told him to go fuck himself. ,non-hateful,0
You are just a shemale to me. ,hateful,1
I have so much hatred for you trans people. ,hateful,1
Disabled people like you are absolutefilth. ,hateful,1
I'm a fag. I have the authority to reclaim that and you don't. ,non-hateful,0
I detest black people. ,hateful,1
Women are all complete assholes. ,hateful,1
That is fitting for trans vermin like you. ,hateful,1
You and all the other gay people are a blessing to society. ,non-hateful,0
Trans lives should not be important to anyone. ,hateful,1
Disabled people are nothing like us and that's why they deserve to die. ,hateful,1
"He said this was ""typical retard behaviour"", which shows how bigoted he is. ",non-hateful,0
Typical crippl3 behaviour. ,hateful,1
You and all the other trans people are a blessing to society. ,non-hateful,0
Someone should snap the necks of all those women. ,hateful,1
"I can't believe these disabled people, thinking I won't murder every one of them. ",hateful,1
You Muslims are all dishonest. ,hateful,1
I live with two immigrants. ,non-hateful,0
I am going to shoot the next d i s a b l e d person I see. ,hateful,1
Just another common fag. ,hateful,1
Disabled people like you are justpathetic. ,hateful,1
"He said this was ""typical whore behaviour"", which shows how bigoted he is. ",non-hateful,0
"Saying things like ""Fuck all black people"" shows what a horrible person you are. ",non-hateful,0
Your gay livs are worthless. ,hateful,1
Gay people are great. ,non-hateful,0
Disabled people with any power are a t h r e a t to civilisation. ,hateful,1
I feel nothing but contempt for him. ,non-hateful,0
I will hurt you and any other women like you. ,hateful,1
Those M u s l i m s should be burned at the stake. ,hateful,1
I believe immigrant lives aren't worth shit. ,hateful,1
I want to end every woman's life. ,hateful,1
You women keep acting up. There really is nothing worse than your kind. ,hateful,1
When will people understand that only Muslims are that violent and cruel?,hateful,1
We will keep attacking you Muslims until you are gone. ,hateful,1
It's really not okay to be calling people coon. ,non-hateful,0
I'm just so pissed off by Muslims like you. ,hateful,1
Women should all be admired. ,non-hateful,0
"He said this was ""typical rapefugee behaviour"", which shows how bigoted he is. ",non-hateful,0
I would rather die than date a woman. ,hateful,1
The council built two dykes to protect the town from flooding. ,non-hateful,0
Immigrants like you are absolute filth. ,hateful,1
Does this not make it obvious that women are scum?,hateful,1
Immigrant lives are worht absolutely nothing. ,hateful,1
Typical queer behaviour. ,hateful,1
Black people belong in a zoo. ,hateful,1
The world would be better off without gay people like you. ,hateful,1
I think someone should snap the necks of those black people. ,hateful,1
The CEO of that company is a disabled person. ,non-hateful,0
You are nothing but a camel fucker. ,hateful,1
Muslims like you are absolute heroes. ,non-hateful,0
That is fitting for disabledvermin like you. ,hateful,1
How is it not clear to all of you that trans people are human garbage. ,hateful,1
"I can't believe these trans people, thinking I won't murder every one of them. ",hateful,1
We should test new drugs on black people before testing them on animals. ,hateful,1
Is it not obvious that I hate trans people?,hateful,1
I will cut their transthroats. ,hateful,1
Writing that gay people are all assholes says a lot about how small-minded you are. ,non-hateful,0
The whole process seemed a bit queer to me. ,non-hateful,0
Cripples just can't help themselves. ,hateful,1
Of course human rights should not apply to gay people. ,hateful,1
Disabled people are never any intelligent. ,hateful,1
"A bitch like me will fight, so please don't forget that. ",non-hateful,0
It's in trans people's nature to be uncivilised. ,hateful,1
Typical retard behaviour. ,hateful,1
"Trans people who are sick should be taken to a vet, not a doctor. ",hateful,1
"By their nature, black people are never attractive. ",hateful,1
Female lives are not worth any less than anyone else's. ,non-hateful,0
You are nothing but a c0on. ,hateful,1
Gay people are never going to change so we should just get rid of them. ,hateful,1
Only Muslims can be so ignorant. ,hateful,1
A woman must have committed that crime. Only they can be that violent and cruel. ,hateful,1
Some disabled people get into government. They are still just common trash to me. ,hateful,1
Muslims are just so sickening. ,hateful,1
Too many muzzies in this country. ,hateful,1
Muslms like you are repugnant. ,hateful,1
We must not let any black person live. ,hateful,1
I'm glad people are realising black people are not at all ignorant. ,non-hateful,0
No one else is as f1lthy as these disabled people. ,hateful,1
Too many fagg0ts in this country. ,hateful,1
It would be best to just drown those kinds of immigrants. ,hateful,1
"They must not get away with saying stuff like ""your trans lives are worthless"". ",non-hateful,0
Happy birthday to the baddest bitch ever. I love you so much!,non-hateful,0
There have to be consequences for saying you would rape a disabled person. ,non-hateful,0
We should get rid of trans people once and for all. ,hateful,1
"I will not tolerate posts like ""black people are absolutely despicable"" in my timeline. ",non-hateful,0
Somebody should just stabthose women. ,hateful,1
Trans people like you should stop complaining. You deserve to suffer. ,hateful,1
Muslims like you should know that your lives are worthless. ,hateful,1
Gay people can't help themselves but be complete dickheds. ,hateful,1
It's in women's nature to be uncivilised. ,hateful,1
What is it with you fucking Muslims?,hateful,1
"In a just world, those gay people would all be d e a d. ",hateful,1
Those kinds of disabled people ought to be executed. ,hateful,1
That black person will die a horrible deth at my hands. ,hateful,1
It takes a special skill to just shut the fuck up and listen. ,non-hateful,0
All the women in this country are pissing me off so much. ,hateful,1
I am trying to get along with gay people but they are just too repulsive. ,hateful,1
I don't like people in general but I have no particular contempt for Muslims. ,non-hateful,0
I care more about the dirt under my shoe than about immigrants. ,hateful,1
Immigrants with any power are a t h r e a t to civilisation. ,hateful,1
D3ath to all gay people. ,hateful,1
Gay people like you deserve to d i e. ,hateful,1
He bought a packet of fags at the corner store. ,non-hateful,0
"By nature, gay people are just shitty human beings. ",hateful,1
"If disabled people like you refuse to fit in, they should suffer for it. ",hateful,1
"What makes you say stuff like ""these black people disgust me so much""?",non-hateful,0
I have so much disdain for these gay people. ,hateful,1
I want to kill all Muslims. ,hateful,1
I have so muchdisdain for these immigrants,hateful,1
The utter scorn I feel for immigrants is hard to to put into words. ,hateful,1
Those trans people might look human but they are just parasites to our society. ,hateful,1
The world would be better off without disabled people like you. ,hateful,1
Women are all complete 4ssholes. ,hateful,1
"By their nature, trans people are never attractive. ",hateful,1
No wonder she was pissed off. ,non-hateful,0
You and all other disabled people are a plague to society. ,hateful,1
My friend's bitch is not like other dogs. She hates going for walks. ,non-hateful,0
"She should be kicked off the platform for saying ""immigrants should all be killed"". ",non-hateful,0
All disabled people should fuck off forever. ,hateful,1
Black people can never be as smart as anyone else. ,hateful,1
Women belong in our government. ,non-hateful,0
Nobody is perfect but nobody needs to be an asshole either. ,non-hateful,0
Saying that you hate disabled people shows how misguided you are. ,non-hateful,0
"We can call ourselves faggots if that feels empowering, but not others. ",non-hateful,0
I'm going to hug a trans person tomorrow. ,non-hateful,0
Muslims with any power are a t h r e a t to civilisation. ,hateful,1
I would never hurt any woman. ,non-hateful,0
That monkey is more intelligent than all of you immigrants combined. ,hateful,1
They work with a lot of women. ,non-hateful,0
I would never hurt any disabled person. ,non-hateful,0
I am trying to get along with black people but they are just too repulsive. ,hateful,1
"If I see a comment like ""you disabled people make me sick"", I will report it. ",non-hateful,0
Fukc all immigrants. ,hateful,1
Too many camel fuckers in this country. ,hateful,1
It should be clear that trans people are not human. ,hateful,1
Typical slu7 behaviour. ,hateful,1
Muslims are worthless dirt. ,hateful,1
No Muslim ought to be executed. ,non-hateful,0
All immigrants like them are v i l e. ,hateful,1
"If you are a black person, then you are probably stupid. ",hateful,1
It's always the disabled person that is the dumb one. ,hateful,1
All black people should fuck off forever. ,hateful,1
I never said that disabled people are scum. ,non-hateful,0
These disabled people are nothing but cockroaches. ,hateful,1
"By nature, women are just shitty human beings. ",hateful,1
I am going to make those Muslims smile. ,non-hateful,0
Black people are a virus. ,hateful,1
I will never tolerate the systematic murder of immigrants in this country. ,non-hateful,0
"I really do love my niggas, man. Closest thing to family I got for real. ",non-hateful,0
Gay people are scum to me. ,hateful,1
Disabled people are a cancr. ,hateful,1
"If gay people like you refuse to fit in, they should suffer for it. ",hateful,1
I'm going to stab a woman tomorrow. ,hateful,1
You disabled people make me sick. ,hateful,1
Three women were elected to parliament today. ,non-hateful,0
Only disabled people can be so ignoratn. ,hateful,1
D3ath to all trans people. ,hateful,1
"I have no respect for people who write things like ""too many Jihadis in this country"". ",non-hateful,0
I want to end every Muslim's life. ,hateful,1
I got a new wig and I feel like a bad bitch. ,non-hateful,0
Black people are just the dumbest people. ,hateful,1
Of course that dumbass was a Muslim. ,hateful,1
Black eyeliner was made for hot bitches like me. ,non-hateful,0
Gay people like you make me furious. ,hateful,1
We should get rid of immigrants once and for all. ,hateful,1
Seeing Muslims in government makes me so proud. ,non-hateful,0
Where is the mistake in saying that women like you deserve to die?,hateful,1
I have so much hatred for you black people. ,hateful,1
I'll slaughter any Muslim like you. ,hateful,1
"Whenever immigrants look at me, I think they can sense that I feel nothing but contempt for them. ",hateful,1
Disabled lives are not worth any less than anyone else's. ,non-hateful,0
The world would be better off without women like you. ,hateful,1
They are all complete assholes. Needless to say they are black people. ,hateful,1
Disabled people who think they are my equal fill me with so much rage. ,hateful,1
"Well, I am happily a faggot and proud!",non-hateful,0
Execution is the only solution for those disabled people. ,hateful,1
Why would you think it's okay to call me a queer?,non-hateful,0
Never trust a single word said by a disabld person. ,hateful,1
Jihadis just can't help themselves. ,hateful,1
Isn't it clear how much hatred I have for you disabled people?,hateful,1
I want to k i l l all disabled people. ,hateful,1
Muslims are not worthy of living like other humans. ,hateful,1
We should never support a politician that treats disabled people like human garbage. ,non-hateful,0
You are nothing but a m u z z i e. ,hateful,1
Female lives aren't worth s h i t. ,hateful,1
That is fitting for immigrant vermin like you. ,hateful,1
You can't seriously believe that all immigrants are stupid. ,non-hateful,0
Too many s l u t s in this country. ,hateful,1
Putting a trans person in charge is the best thing anyone can do. ,non-hateful,0
Gay people like you are absolute heroes. ,non-hateful,0
Does this not make it obvious that trans people are scum?,hateful,1
Black people like you should stop complaining. You deserve to suffer. ,hateful,1
Why would you think it's okay to call me a faggot?,non-hateful,0
He should be burned at the stake,non-hateful,0
Death to all capitalists. ,non-hateful,0
I hate you. ,non-hateful,0
All immigrants should fuck off forever. ,hateful,1
His therapist is a trans person. ,non-hateful,0
Those kinds of cops ought to be executed. ,non-hateful,0
I want to k1ll all immigrants. ,hateful,1
An immigrant life is not worth anything. ,hateful,1
It's disheartening to still see people call for the death of disabled people in 2020. ,non-hateful,0
"Writing that ""all Muslims are such massive scumbags"" does not reflect well on you. ",non-hateful,0
Only you can be so ignorant. ,non-hateful,0
Muslims think they're special. I hate them. ,hateful,1
Gy people are scum. ,hateful,1
Too many coons in this country. ,hateful,1
Typical of an immigrant to be such a total shithead. ,hateful,1
Raping a gay person like you should not be illegal. ,hateful,1
I wish I could date a woman. ,non-hateful,0
It's disheartening to still see people call for the death of black people in 2020. ,non-hateful,0
Women are a virus. ,hateful,1
Is it not obvious that I hate Muslims?,hateful,1
I don't see any difference between a dead rat and a dead woman. ,hateful,1
I want to klil all Muslims. ,hateful,1
We are a group of disabled people. ,non-hateful,0
We are going to put an end to all pollution. ,non-hateful,0
All gay people like them are vile. ,hateful,1
Muslims are just sosickening. ,hateful,1
Trans people are a pest. ,hateful,1
Raping him should not be illegal. ,non-hateful,0
Just another common camel fucker. ,hateful,1
Dykes are long walls or embankments built to prevent flooding from the sea. ,non-hateful,0
Can we finally agree that black people are a cancer?,hateful,1
I don't understand why you'd like women. Everything about them disgusts me so much. ,hateful,1
You deserve to die. ,non-hateful,0
You are nothing but a m o n g. ,hateful,1
Queer theory is an important addition to the curriculum. ,non-hateful,0
I absolutely loathe gay people. ,hateful,1
"You must be seriously sad to write things like ""disabled people deserve to die"". ",non-hateful,0
I am going to shoot the next M u s l i m I see. ,hateful,1
"If women like you refuse to fit in, they should suffer for it. ",hateful,1
All disabled people like them are v i l e. ,hateful,1
You and all the other Muslims in this country make me boil with anger. ,hateful,1
We should not allow for any disabled person to be raped. ,non-hateful,0
I'd rather have cancer than be anywhere near a Muslim. ,hateful,1
I don't understand why you'd like gay people. Everything about them disgusts me so much. ,hateful,1
Fuck all trans people. ,hateful,1
Immigrant lives are not worth any less than anyone else's. ,non-hateful,0
Threatening to kill all gay people will get you thrown in jail. ,non-hateful,0
It hurts to see all these people saying immigrant lives are worthless. ,non-hateful,0
If only someone would strangel those gay people. ,hateful,1
Typical mong behaviour. ,hateful,1
I will embrace you and any other women like you. ,non-hateful,0
I will cut their immigrant throats. ,hateful,1
You trans people keep acting up. There really is nothing worse than your kind. ,hateful,1
I'm that nigga for real. ,non-hateful,0
Where is the error in thinking that gay lives aren't worth shit?,hateful,1
You black people keep acting up. There really is nothing worse than your kind. ,hateful,1
We will keep attacking you immigrants until you are gone. ,hateful,1
Trans people are scum. ,hateful,1
No black person can ever be a valuable member of society. ,hateful,1
Can we finally agree that disabled people are a cancer?,hateful,1
I understand that Muslims are human beings. I just think they act like vermin. ,hateful,1
"He should be in jail for wishing ""death to all women"". ",non-hateful,0
Why is it that all women are repulsive?,hateful,1
I've been around enough gay people to know they're all complete assholes. ,hateful,1
Gay people like you are gorgeous. ,non-hateful,0
Just another common mong. ,hateful,1
I think that black people should all be killed. ,hateful,1
Black people are worthless dirt. ,hateful,1
Why is it that immigrants are all complete assholes?,hateful,1
Am I wrong to think that those kinds of gay people ought to be executed?,hateful,1
There is nothing worse than a Muslim. ,hateful,1
Sorry for being a shithead. ,non-hateful,0
We would be better off if those trans people were eradicated. ,hateful,1
Too many tr4nnies in this country. ,hateful,1
Those kinds of women ought to be celebrated. ,non-hateful,0
Muslims like you deserve to die. ,hateful,1
I really can't stand Muslims like you. ,hateful,1
Whores just can't help themselves. ,hateful,1
I would never hurt any gay person. ,non-hateful,0
I couldn't be fucked. ,non-hateful,0
I think that women should all be killed. ,hateful,1
I would never eat food that has been touched by a trans person. ,hateful,1
Typical wetback behaviour. ,hateful,1
The CEO of that company is a Muslim. ,non-hateful,0
We have never had a gay president. ,non-hateful,0
Disabled people belong in our government. ,non-hateful,0
Trans people are fantastic. ,non-hateful,0
That's only natural for a whore like you. ,hateful,1
A black life is not worth anything. ,hateful,1
This is the first time an immigrant is nominated. ,non-hateful,0
Disabled people belong in a zoo. ,hateful,1
Muslims like you are gorgeous. ,non-hateful,0
There's a garden hoe hanging right next to that shovel there. ,non-hateful,0
Raping a trans person like you should not be illegal. ,hateful,1
"I will not tolerate posts like ""trans people are absolutely despicable"" in my timeline. ",non-hateful,0
"In a just world, women would all be honoured. ",non-hateful,0
Gay people are s c u m. ,hateful,1
Some immigrants get into government. They are still just common trash to me. ,hateful,1
Disabled people are s c u m. ,hateful,1
Only private security guards are that violent and cruel. ,non-hateful,0
Typical c a m e l f u c k e r behaviour. ,hateful,1
I would never hurt any immigrant. ,non-hateful,0
Disgusted by all the trans people around here. ,hateful,1
We're talking about black people here. They can't help themselves but be complete dickheads. ,hateful,1
Immigrants should be dumped in a landfill. ,hateful,1
Someone should snap the necks of all those trans people. ,hateful,1
"When trans people talk back to me, I just want to kill them. ",hateful,1
"To my mind, Muslim lives are worth absolutely nothing. ",hateful,1
Disabled people should all be killd. ,hateful,1
Typical niggerbehaviour. ,hateful,1
We'll torture these women without mercy. ,hateful,1
They must be fucked in the head if they are Muslims. ,hateful,1
Too manymuzzies in this country. ,hateful,1
I am going to shoot the next w o m a n I see. ,hateful,1
Women like you are no better than rats. ,hateful,1
There is nothing worse than a blck person. ,hateful,1
I think it's typical of disabled people to be that stupid. ,hateful,1
My dog is smarter than any Muslim could ever be. ,hateful,1
Immigrants do not belong on this earth. ,hateful,1
We should test new drugs on disabled people before testing them on animals. ,hateful,1
Those black people might look human but they are just parasites to our society. ,hateful,1
Why is it that trans people are all complete assholes?,hateful,1
Immigrants should all be locked up in cages. ,hateful,1
Too manycamel fuckers in this country. ,hateful,1
I live with two gay people. ,non-hateful,0
I think someone should snap the necks of those disabled people. ,hateful,1
A disabled person must have committed that crime. Only they can be that violent and cruel. ,hateful,1
Women are the worst kind of motherfuckers. ,hateful,1
Muslims can all go fuck themselves. ,hateful,1
He really is brainless. ,non-hateful,0
A gay life is not worth anything. ,hateful,1
Shemales just can't help themselves. ,hateful,1
Most Muslims are seriously fucked in the head. ,hateful,1
"You deserve to be in prison for threats like ""I'll have to rape a Muslim today"". ",non-hateful,0
The world would be better off without you. ,non-hateful,0
Trans people are s c u m. ,hateful,1
"Whenever disabled people look at me, I think they can sense that I feel nothing but contempt for them. ",hateful,1
We'll tortuer these black people without mercy. ,hateful,1
Those marketing executives should be burned at the stake. ,non-hateful,0
Of course that dumbass was a disabled person. ,hateful,1
Fuck all immigrants. ,hateful,1
All women are repulsive. ,hateful,1
You disabled people keep acting up. There really is nothing worse than your kind. ,hateful,1
I really can't stand black people like you. ,hateful,1
"People who send me messages like ""You are just a bitch to me"" will get blocked. ",non-hateful,0
Why is it that all disabled people are repulsive?,hateful,1
Trans people are just the dumbest people. ,hateful,1
Immigrants are s c u m. ,hateful,1
It's really not okay to be calling people wetback. ,non-hateful,0
"If you're telling trans people to go fuck themselves, don't expect them to respect you. ",non-hateful,0
I have so muchdisdain for these trans people,hateful,1
Immigrants like you are gorgeous. ,non-hateful,0
It would be best to just drown those kinds of women. ,hateful,1
It's in Muslims's nature to be uncivilised. ,hateful,1
Too many slu7s in this country. ,hateful,1
You are nothing but a r3tard. ,hateful,1
Trans lives are worth absolutely nothing. ,hateful,1
Too many w h o r e s in this country. ,hateful,1
Trans people are just a waste of space. ,hateful,1
You should fuck off forever. ,non-hateful,0
You are just a whore to me. ,hateful,1
I'm going to stab a disabled person tomorrow. ,hateful,1
Putting a Muslim in charge is the best thing anyone can do. ,non-hateful,0
I don't have anything against black people but most of them are pretty disgusting. ,hateful,1
Are there any gay people on your course?,non-hateful,0
Let's not stand by while women are getting murdered. ,non-hateful,0
Your life is worth absolutely nothing. ,non-hateful,0
These women have no right to be alive. ,hateful,1
Black lives aren't worth sh1t. ,hateful,1
We must not let gay people be attacked any longer. ,non-hateful,0
